DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7032553,Flumetralin,62924-70-3,PWNAWOCHVWERAR-UHFFFAOYSA-N,"N-[(2-Chloro-6-fluorophenyl)methyl]-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",CCN(CC1=C(Cl)C=CC=C1F)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C16H12ClF4N3O4/c1-2-22(8-10-11(17)4-3-5-12(10)18)15-13(23(25)26)6-9(16(19,20)21)7-14(15)24(27)28/h3-7H,2,8H2,1H3",C16H12ClF4N3O4,421.73,421.045246,128,,67,,1,206/1010,20.0,1010
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20904071,"Alkyl* dodecylbenzyl dimethyl ammonium chloride *(67%C18, 33%C16)",NOCAS_904071,,,,,,, ,1,,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30107874,"Fuels, jet aircraft, coal solvent extn., hydrocracked hydrogenated",94114-58-6,,,,,,, ,17,,,,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4021395,Trifluralin,1582-09-8,ZSDSQXJSNMTJDA-UHFFFAOYSA-N,"2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline",CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",C13H16F3N3O4,335.283,335.109290,256,259,135,26,1,118/1084,11.0,1084
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70904566,"Alkyl* N,N-bis(2-hydroxyethyl)amine *(100% C8-C18)",NOCAS_904566,,,,,,, ,1,,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5042451,Tetrachlorothiophene,6012-97-1,WZXXZHONLFRKGG-UHFFFAOYSA-N,Tetrachlorothiophene,ClC1=C(Cl)C(Cl)=C(Cl)S1,InChI=1S/C4Cl4S/c5-1-2(6)4(8)9-3(1)7,C4Cl4S,221.9,219.847482,69,,96,,1,3/398,1.0,398
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8034297,Acequinocyl,57960-19-7,QDRXWCAVUNHOGA-UHFFFAOYSA-N,"3-Dodecyl-1,4-dioxo-1,4-dihydronaphthalen-2-yl acetate",CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)C2=C(C=CC=C2)C1=O,"InChI=1S/C24H32O4/c1-3-4-5-6-7-8-9-10-11-12-17-21-22(26)19-15-13-14-16-20(19)23(27)24(21)28-18(2)25/h13-16H,3-12,17H2,1-2H3",C24H32O4,384.516,384.230060,96,4,49,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9029067,Anthracene oil,90640-80-5,,,,,,, ,34,,,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0041432,2-Mercaptobenzothiazole potassium salt,7778-70-3,ZKTKNAXWCMIKLK-UHFFFAOYSA-M,"Potassium 1,3-benzothiazole-2-thiolate",[K+].[S-]C1=NC2=C(S1)C=CC=C2,"InChI=1S/C7H5NS2.K/c9-7-8-5-3-1-2-4-6(5)10-7;/h1-4H,(H,8,9);/q;+1/p-1",C7H4KNS2,205.33,204.942223,42,111,11,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70107853,PO-San A,76930-44-4,,,,,,, ,13,,,,3, ,,
