"","PREFERRED.NAME","SMILES","Tanimoto_coefficient"
"1612","Rotenone","[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=CC=C3O[C@H](CC3=C1O2)C(C)=C",1
"3470","Rotenone","CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC",1
"4782","Rotenone","CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC",1
"502","1',2'-Dihydrorotenone","COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)C)C1=O",0.930555555555556
"1335","Griseofulvin","COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC",0.571428571428571
"1402","7-Hydroxy-2,2-dimethylbenzofuran-3-one","CC1(C)OC2=C(C=CC=C2O)C1=O",0.473684210526316
"2301","Morphine sulphate (2:1)","OS(O)(=O)=O.CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35.CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35",0.45
"2704","Propilizon","CCCOC(=O)C1C(C)CC2=C(C=C3OCOC3=C2)C1C(=O)OCCC",0.448087431693989
"2723","2,3-Dihydro-2,2-dimethyl-3,7-benzofurandiol","CC1(C)OC2=C(C=CC=C2O)C1O",0.444444444444444
"1610","2,3-Dihydro-2,2-dimethyl-7-benzofuranol","CC1(C)CC2=C(O1)C(O)=CC=C2",0.431506849315068
"5043","2,3-Dihydro-2,2-dimethyl-7-benzofuranol","CC1(CC2=C(O1)C(=CC=C2)O)C",0.431506849315068
"5285","3-Ketocarbofuran","CC1(C(=O)C2=C(O1)C(=CC=C2)OC(=O)NC)C",0.421348314606742
"6984","3-(3-(4'-Bromo(1,1'-biphenyl)-4-yl)-3-oxo-1-phenylpropyl)-4-hydroxy-2-benzopyrone","C1=CC=C(C=C1)C(CC(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)Br)C4=C(C5=CC=CC=C5OC4=O)O",0.411214953271028
"1900","Warfarin","CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O",0.410891089108911
