"","PREFERRED.NAME","SMILES","Tanimoto_coefficient"
"1612","Rotenone","[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=CC=C3O[C@H](CC3=C1O2)C(C)=C",1
"3452","Rotenone","CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC",0.795580110497238
"502","1',2'-Dihydrorotenone","COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)C)C1=O",0.740331491712707
"1335","Griseofulvin","COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC",0.495798319327731
"2301","Morphine sulphate (2:1)","OS(O)(=O)=O.CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35.CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35",0.412698412698413
"1402","7-Hydroxy-2,2-dimethylbenzofuran-3-one","CC1(C)OC2=C(C=CC=C2O)C1=O",0.380952380952381
"2704","Propilizon","CCCOC(=O)C1C(C)CC2=C(C=C3OCOC3=C2)C1C(=O)OCCC",0.378995433789954
"16","Coumithoate","CCOP(=S)(OCC)OC1=CC=C2C3=C(CCCC3)C(=O)OC2=C1",0.365461847389558
"4811","3-Ketocarbofuran","CC1(C(=O)C2=C(O1)C(=CC=C2)OC(=O)NC)C",0.36150234741784
"5738","3-(3-(4'-Bromo(1,1'-biphenyl)-4-yl)-3-oxo-1-phenylpropyl)-4-hydroxy-2-benzopyrone","C1=CC=C(C=C1)C(CC(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)Br)C4=C(C5=CC=CC=C5OC4=O)O",0.36144578313253
"4258","Chromafenozide","CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C",0.360730593607306
"1900","Warfarin","CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O",0.358649789029536
"4414","Warfarin","CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O",0.358649789029536
"2723","2,3-Dihydro-2,2-dimethyl-3,7-benzofurandiol","CC1(C)OC2=C(C=CC=C2O)C1O",0.357894736842105
"357","Sodium warfarin","[Na+].CC(=O)CC(C1=CC=CC=C1)C1=C([O-])C2=CC=CC=C2OC1=O",0.357142857142857
"1171","Potassium warfarin","[K+].CC(=O)CC(C1=CC=CC=C1)C1=C([O-])C2=CC=CC=C2OC1=O",0.357142857142857
"5539","Warfarin sodium","CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[Na+]",0.357142857142857
"2480","Difenacoum","OC1=C(C2CC(CC3=CC=CC=C23)C2=CC=C(C=C2)C2=CC=CC=C2)C(=O)OC2=CC=CC=C12",0.350393700787402
"4413","Difenacoum","C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6",0.350393700787402
"4420","Flocoumafen","C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)OCC6=CC=C(C=C6)C(F)(F)F",0.349809885931559
"3307","Coumatetralyl","OC1=C(C2CCCC3=C2C=CC=C3)C(=O)OC2=C1C=CC=C2",0.349593495934959
"4415","Coumatetralyl","C1CC(C2=CC=CC=C2C1)C3=C(C4=CC=CC=C4OC3=O)O",0.349593495934959
"815","Coumachlor","CC(=O)CC(C1=CC=C(Cl)C=C1)C1=C(O)C2=C(OC1=O)C=CC=C2",0.346938775510204
"4418","Coumachlor","CC(=O)CC(C1=CC=C(C=C1)Cl)C2=C(C3=CC=CC=C3OC2=O)O",0.346938775510204
"1020","3-Hydroxycarbofuran","CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2O",0.345794392523364
"4810","3-Hydroxycarbofuran","CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C",0.345794392523364
"5159","Ethofumesate-2-keto","CC1(C2=C(C=CC(=C2)OS(=O)(=O)C)OC1=O)C",0.344660194174757
"1610","2,3-Dihydro-2,2-dimethyl-7-benzofuranol","CC1(C)CC2=C(O1)C(O)=CC=C2",0.344262295081967
"4703","2,3-Dihydro-2,2-dimethyl-7-benzofuranol","CC1(CC2=C(O1)C(=CC=C2)O)C",0.344262295081967
"2761","Brodifacoum","OC1=C(C2CC(CC3=CC=CC=C23)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)OC2=CC=CC=C12",0.343629343629344
"4417","Brodifacoum","C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br",0.343629343629344
"6064","3-Carbamoyl-2-cyano-3-(2,2-difluoro-2h-1,3-benzodioxol-4-yl)-2-oxiranecarboxylic acid","C1=CC(=C2C(=C1)OC(O2)(F)F)C3(C(O3)(C#N)C(=O)O)C(=O)N",0.341176470588235
"1399","Reserpine","[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2",0.338461538461538
"6186","6-methylsulfonyl-5-(2,2,2-trifluoroethoxymethyl)-3,4-dihydro-2H-xanthene-1,9-dione","CS(=O)(=O)C1=C(C2=C(C=C1)C(=O)C3=C(O2)CCCC3=O)COCC(F)(F)F",0.338078291814947
"80","Bromadiolone","OC(CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2)C1=CC=C(C=C1)C1=CC=C(Br)C=C1",0.337301587301587
"4416","Bromadiolone","C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O",0.337301587301587
"2529","Vinblastine","[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])C[N@](C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC",0.336814621409922
"3139","Carbofuran","CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2",0.33495145631068
"3368","Carbofuran","CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C",0.33495145631068
"1949","Metobenzuron","CON(C)C(=O)NC1=CC=C(OC2=CC=C3C(OC(C)(CC3(C)C)OC)=C2)C=C1",0.333333333333333
"5486","Metobenzuron","CC1(CC(OC2=C1C=CC(=C2)OC3=CC=C(C=C3)NC(=O)N(C)OC)(C)OC)C",0.333333333333333
"3774","Furathiocarb","CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C",0.326086956521739
"1107","Coumafuryl","CC(=O)CC(C1=CC=CO1)C1=C(O)C2=C(OC1=O)C=CC=C2",0.322097378277154
"4419","Coumafuryl","CC(=O)CC(C1=CC=CO1)C2=C(C3=CC=CC=C3OC2=O)O",0.322097378277154
"2526","Coumafuryl, sodium salt","[Na+].CC(=O)CC(C1=CC=CO1)C1=C([O-])C2=C(OC1=O)C=CC=C2",0.32089552238806
"273","2,6-Bis(3,4-methylenedioxyphenyl)-3,7-dioxabicyclo[3.3.0]octane","C1OC2=C(O1)C=C(C=C2)C1OCC2C1COC2C1=CC2=C(OCO2)C=C1",0.320754716981132
"6067","1-(2-Methoxy-5-phenylphenyl)propan-2-yl pyrazine-2-carboxylate","CC(CC1=C(C=CC(=C1)C2=CC=CC=C2)OC)OC(=O)C3=NC=CN=C3",0.32034632034632
"4089","Benfuresate","CCS(=O)(=O)OC1=CC2=C(C=C1)OCC2(C)C",0.318627450980392
"5155","(2-hydroxy-3,3-dimethyl-2H-1-benzofuran-5-yl) methanesulfonate","CC1(C(OC2=C1C=C(C=C2)OS(=O)(=O)C)O)C",0.317073170731707
"2576","Flucythrinate","CC(C)C(C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(OC(F)F)C=C1",0.313364055299539
"3784","Flucythrinate","CC(C)C(C1=CC=C(C=C1)OC(F)F)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3",0.313364055299539
"6294","2-Methyl-2-[4-(2-quinazolin-4-yloxyethyl)phenyl]propanoic acid","CC(C)(C1=CC=C(C=C1)CCOC2=NC=NC3=CC=CC=C32)C(=O)O",0.312796208530806
"517","Benfuracarb","CCOC(=O)CCN(SN(C)C(=O)OC1=CC=CC2=C1OC(C)(C)C2)C(C)C",0.311475409836066
"3798","Benfuracarb","CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C",0.311475409836066
"5687","[2-Amino-2-(4-tert-butyl-2-ethoxyphenyl)ethyl] 2,6-difluorobenzoate","CCOC1=C(C=CC(=C1)C(C)(C)C)C(COC(=O)C2=C(C=CC=C2F)F)N",0.310810810810811
"2312","2-Amino-2-[2-ethoxy-4-(2-methyl-2-propanyl)phenyl]ethyl 2,6-difluorobenzoate hydrochloride (1:1)","Cl.CCOC1=CC(=CC=C1C(N)COC(=O)C1=C(F)C=CC=C1F)C(C)(C)C",0.309417040358744
"2808","Carbosulfan","CCCCN(CCCC)SN(C)C(=O)OC1=C2OC(C)(C)CC2=CC=C1",0.308016877637131
"3752","Carbosulfan","CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C",0.308016877637131
"1372","(1R,2R-rel)-2-[4-(2-Methyl-2-propanyl)phenoxy]cyclohexanol","CC(C)(C)C1=CC=C(O[C@@H]2CCCC[C@H]2O)C=C1",0.307692307692308
"528","Ethofumesate","CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C",0.306976744186047
"3700","Ethofumesate","CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C",0.306976744186047
